English,Estonian,Source,Domain,Definition_Short,Link
mode dialogue,olekute dialoog,eki_skt,psychology/therapy,"kogemuslik tehnika, milles kehastutakse erinevatel viisidel olekuteks nende teadvustamise, nendevahelise suhtluse käivitamise ja muutmise eesmärgil, I...",https://sonaveeb.ee/search/unif/dlall/skt/mode%20dialogue
morbidity,haigestumus,eki_TAI,health,"haigusjuhtumite arv inimeste arvu kohta teatud ajavahemikul, haigestumise sagedus",https://sonaveeb.ee/search/unif/dlall/TAI/morbidity
morphology of tumour,kasvaja morfoloogia,eki_TAI,health,"kasvajalise koe ehitus ja struktuur, mille järgi saab määrata kasvaja tüüpi",https://sonaveeb.ee/search/unif/dlall/TAI/morphology%20of%20tumour
multiple cancer,mitmikkasvaja,eki_TAI,health,"kasvaja, mis esineb samal ajal või järjestikku teise kasvajaga ühel ja samal inimesel",https://sonaveeb.ee/search/unif/dlall/TAI/multiple%20cancer
multiple primary cancer,(no ET term),eki_TAI,health,"kasvaja, mis esineb samal ajal või järjestikku teise kasvajaga ühel ja samal inimesel",https://sonaveeb.ee/search/unif/dlall/TAI/multiple%20primary%20cancer
need for assistance,abivajadus,eki_TAI,health,"kõrvalabi või juhendamise, järelevalve, teenuse ja/või toetuse vajadus",https://sonaveeb.ee/search/unif/dlall/TAI/need%20for%20assistance
need for fairness,vajadus õigluse järele,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus olla koheldud võrdselt, moraalselt, samaväärselt ja/või õigustatult, the need for sameness, where everything is kept e...",https://sonaveeb.ee/search/unif/dlall/skt/need%20for%20fairness
need for self-coherence,vajadus mina-pildi terviklikkuse järele,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus kooskõlalise identiteedi ning mõtestatud ja tähendusliku maailmatunnetuse järele, desire to feel psychologically intac...",https://sonaveeb.ee/search/unif/dlall/skt/need%20for%20self-coherence
need of assistance,(no ET term),eki_TAI,health,"kõrvalabi või juhendamise, järelevalve, teenuse ja/või toetuse vajadus",https://sonaveeb.ee/search/unif/dlall/TAI/need%20of%20assistance
needs-based,(no ET term),eki_TAI,health,"(abi, toe või toetuse kohta) inimese individuaalseid vajadusi arvestav, neil põhinev",https://sonaveeb.ee/search/unif/dlall/TAI/needs-based
negativity,negatiivsus,eki_skt,psychology/therapy,"halvale, halbadele külgedele keskendumine või selline suhtumine",https://sonaveeb.ee/search/unif/dlall/skt/negativity
neonatal death,neonataalsurm,eki_TAI,health,Neonataalsurm – imiku surm nelja esimese elunädala jooksul.(7),https://sonaveeb.ee/search/unif/dlall/TAI/neonatal%20death
neonatal period,neonataalperiood,eki_TAI,health,ajavahemik alates lapse sünnist kuni 7 päeva täissaamiseni pärast sündi,https://sonaveeb.ee/search/unif/dlall/TAI/neonatal%20period
new case (of disease),esmane haigusjuht,eki_TAI,health,"esmakordselt patsiendi elus kinnitatud lõplik diagnoos, v.a ägedad nakkused ja vigastused, mida võib uue juhuna põdeda korduvalt",https://sonaveeb.ee/search/unif/dlall/TAI/new%20case%20%28of%20disease%29
newborn,(no ET term),eki_TAI,health,laps sünnist kuni nelja nädala vanuseni (esimene elukuu),https://sonaveeb.ee/search/unif/dlall/TAI/newborn
next of kin,lähedane inimene,eki_TAI,health,"isiku roll; keegi, kes on patsiendi lähim elusolev sugulane või kellega tal on lähedane suhe, person role being either the closest living relative of ...",https://sonaveeb.ee/search/unif/dlall/TAI/next%20of%20kin
non-invasive tumour,(no ET term),eki_TAI,health,"tekkekohaga piirdunud, ümbritsevasse koesse levimata kasvaja",https://sonaveeb.ee/search/unif/dlall/TAI/non-invasive%20tumour
nonjudgmentally,ilma hinnanguteta,eki_dkt,psychology/therapy,"Üks DKT teadveloleku kuidas-oskus, hetke ja oma kogemuste tajumine sellistena nagu need on, ilma hinnanguid andmata.",https://sonaveeb.ee/search/unif/dlall/dkt/nonjudgmentally
notification of death,surmateatis,eki_TAI,health,"tervishoiuteenuse osutaja täidetav dokument surnud isiku, surma aja ja koha ning surma fakti tuvastanud tervishoiuteenuse osutaja andmetega",https://sonaveeb.ee/search/unif/dlall/TAI/notification%20of%20death
objective well-being,objektiivne heaolu,eki_TAI,health,"objektiivselt mõõdetavad inimese heaoluga seostatavad näitajad, Nt tööhõive määr, leibkondade struktuur, sissetulek, keskmine eluiga, kehamassiindeks ...",https://sonaveeb.ee/search/unif/dlall/TAI/objective%20well-being
objectives effectiveness,tõhusus eesmärkides,eki_dkt,psychology/therapy,üks võimalik eesmärk suhtlemisolukordades: antud olukorras tulemuse või eesmärgi saavutamine,https://sonaveeb.ee/search/unif/dlall/dkt/objectives%20effectiveness
observe,(no ET term),eki_dkt,psychology/therapy,"midagi või kedagi (liikuvat) pilguga saates vaatlema, ainiti silmitsedes uurima",https://sonaveeb.ee/search/unif/dlall/dkt/observe
occupational burnout,(no ET term),eki_kriis,crisis,"stressisündroom, mille sisuks on üheaegselt füüsiline, psüühiline ja emotsionaalne kurnatus ning tööga seonduv ebapiisavuse tunne",https://sonaveeb.ee/search/unif/dlall/kriis/occupational%20burnout
one-mindfully,täie tähelepanuga,eki_dkt,psychology/therapy,"Üks teadveloleku kuidas-oskus DKT-s, keskendumine ühele tegevusele korraga, selle kaudu täielikult hetkes olemine.",https://sonaveeb.ee/search/unif/dlall/dkt/one-mindfully
open care (service),(no ET term),eki_TAI,health,"vananenud termin sotsiaalteenuse kohta, kus täisealise inimese iseseisev ja turvaline toimetulek tagatakse tema kodus ja oma kogukonnas (hrl vastandus...",https://sonaveeb.ee/search/unif/dlall/TAI/open%20care%20%28service%29
open group,avatud grupp,eki_dkt,psychology/therapy,"grupiviisilise oskuste õppe formaat, mille käigus saavad uued liikmed kogu programmi vältel liituda",https://sonaveeb.ee/search/unif/dlall/dkt/open%20group
optimism,(no ET term),eki_skt,psychology/therapy,"julge ja elurõõmus suhtumine elus ettetulevasse, headele külgedele keskendumine, lootusrikkus tuleviku suhtes",https://sonaveeb.ee/search/unif/dlall/skt/optimism
other-directedness,teistele suunatus,eki_skt,psychology/therapy,"skeemi valdkond, mille aluseks on äärmuslik teiste soovidele, tunnetele ja reaktsioonidele keskendumine iseenda vajaduste arvelt eesmärgiga saada arma...",https://sonaveeb.ee/search/unif/dlall/skt/other-directedness
output for intervention,ennetustegevuse väljund,eki_TAI,health,"ennetustegevuse tulemid, Nt läbi viidud tegevuse maht, koostatud materjalid, meediakajastus, osalenute arv.",https://sonaveeb.ee/search/unif/dlall/TAI/output%20for%20intervention
overanalysing overcontroller mode,üleanalüüsiva ülekontrollija olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest ülekompenseerivatest toimetulekuolekutest, mida iseloomustab ülekaalukas minevikule ja/või tulevikule keskendunud verbaalne ...",https://sonaveeb.ee/search/unif/dlall/skt/overanalysing%20overcontroller%20mode
overcompensation,ülekompenseerimine,eki_skt,psychology/therapy,"skeemiga toime tulemise viis, mis sisaldab katseid toimida vastupidiselt aktiveerunud skeemile, a broad tendency to act in an opposite way to the trig...",https://sonaveeb.ee/search/unif/dlall/skt/overcompensation
overcompensator mode,ülekompenseerija olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, mis sisaldab aktiveerunud skeemile vastupidiseid käitumisi, The Overcompensator fights back either by mistr...",https://sonaveeb.ee/search/unif/dlall/skt/overcompensator%20mode
overcontroller mode,ülekontrollija olek,eki_skt,psychology/therapy,"üks ülekompenseerija olekutest, milles olles kaitstakse end reaalse või tajutud ohu ja haavatavuse eest kõrgendatud tähelepanelikkuse, rumineerimise, ...",https://sonaveeb.ee/search/unif/dlall/skt/overcontroller%20mode
overdue newborn,ülekantud laps,eki_TAI,health,"pärast 42. täisrasedusnädalat sündinud laps; vaata ka ajaline laps, enneaegne laps",https://sonaveeb.ee/search/unif/dlall/TAI/overdue%20newborn
overnutrition,(no ET term),eki_TAI,health,vajadusest kestvalt enam tarbitud toiduenergia või toitainete liiast (sh liigsöömisest) tingitud organismi seisund,https://sonaveeb.ee/search/unif/dlall/TAI/overnutrition
parasuicidal behavior,mittesuitsidaalne enesevigastamine,eki_dkt,psychology/therapy,"endkahjustavad käitumised, mille eesmärk ei ole suitsiid",https://sonaveeb.ee/search/unif/dlall/dkt/parasuicidal%20behavior
participate,(no ET term),eki_dkt,psychology/therapy,"koos teistega mingil üritusel, sündmusel olema, teistega koos midagi tegema",https://sonaveeb.ee/search/unif/dlall/dkt/participate
participation restriction,osaluspiirang,eki_TAI,health,"takistus, millega inimene elulises olukorras kokku puutub",https://sonaveeb.ee/search/unif/dlall/TAI/participation%20restriction
perfectionistic overcontroller mode,perfektsionistliku ülekontrollija olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest ülekompenseerivatest toimetulekuolekutest, mida iseloomustab täiusliku soorituse taotlus ja liigne kontroll, et vältida viga...",https://sonaveeb.ee/search/unif/dlall/skt/perfectionistic%20overcontroller%20mode
perinatal mortality rate,perinataalsuremuskordaja,eki_TAI,health,perinataalperioodis surnute arv kõigi sündide kohta teatud ajavahemikul,https://sonaveeb.ee/search/unif/dlall/TAI/perinatal%20mortality%20rate
perinatal period,perinataalperiood,eki_TAI,health,"ajavahemik, mis algab pärast 22. täisrasedusnädalat (154 päeva) ja lõpeb 7 päeva möödumisel pärast sündi",https://sonaveeb.ee/search/unif/dlall/TAI/perinatal%20period
person in need of assistance,(no ET term),eki_TAI,health,,https://sonaveeb.ee/search/unif/dlall/TAI/person%20in%20need%20of%20assistance
person in need of help,(no ET term),eki_TAI,health,,https://sonaveeb.ee/search/unif/dlall/TAI/person%20in%20need%20of%20help
person under guardianship,(no ET term),eki_TAI,health,"a person, especially a child or incompetent, placed by the court under the care and supervision of a guardian or conservator, isik, kelle suhtes eestk...",https://sonaveeb.ee/search/unif/dlall/TAI/person%20under%20guardianship
"person-time (person-year, person-month)",riskile avatud aeg,eki_TAI,health,"aeg (nt inimaasta, inimkuu), mille jooksul kuulub inimene uuringurahvastikku ja on haigusvaba, st ei ole haigestunud käsitletavasse haigusse ja on ava...",https://sonaveeb.ee/search/unif/dlall/TAI/person-time%20%28person-year%2C%20person-month%29
personal assistance,(no ET term),eki_TAI,health,inimese füüsiline abistamine ja toetamine mingi tegevuse sooritamisel,https://sonaveeb.ee/search/unif/dlall/TAI/personal%20assistance
phone coaching,telefonikonsultatsioon,eki_dkt,psychology/therapy,"dialektilise käitumisteraapia komponent, mille raames terapeut toetab kohtumistevaheliste telefonikõnedega kriisiolukordade tõhusat lahendamist, oskus...",https://sonaveeb.ee/search/unif/dlall/dkt/phone%20coaching
place of death,suremispaik,eki_TAI,health,"surmateatisel koht, kus surrakse",https://sonaveeb.ee/search/unif/dlall/TAI/place%20of%20death
plan,kava,eki_TAI,health,"mõte midagi teha, mõttes olev otsus",https://sonaveeb.ee/search/unif/dlall/TAI/plan
population-based cancer registry,rahvastiku vähiregister,eki_TAI,health,"vähiregister, mis kogub andmeid kindlas rahvastikus diagnoositud vähijuhtude kohta ja mille peamine ülesanne on mõõta vähihaigestumust ja -elulemust",https://sonaveeb.ee/search/unif/dlall/TAI/population-based%20cancer%20registry
positive schema,positiivne skeem,eki_skt,psychology/therapy,"lai, kõikehõlmav enda ja oma suhete kohta käiv mälestustest, emotsioonidest, kognitsioonidest ja kehalistest aistingutest koosnev muster, mis kujuneb ...",https://sonaveeb.ee/search/unif/dlall/skt/positive%20schema
postulate,(no ET term),eki_kriis,crisis,"oluline ja kriisinõustamise kvaliteeti mõjutav alusväide, mis ei vaja täpsemat tõestust",https://sonaveeb.ee/search/unif/dlall/kriis/postulate
preceding condition,varasem surmapõhjus,eki_TAI,health,"vahetule surmapõhjusele eelnev haigus, seisund või vigastus",https://sonaveeb.ee/search/unif/dlall/TAI/preceding%20condition
pregnancy crisis counceling,raseduskriisi nõustamine,eki_kriis,crisis,"psühholoogilise toe ja teabe pakkumine raseduse planeerimisel, raseduse ja sünnitusjärgsel ajal",https://sonaveeb.ee/search/unif/dlall/kriis/pregnancy%20crisis%20counceling
preterm newborn,enneaegne laps,eki_TAI,health,"enne 37. täisrasedusnädalat sündinud laps; vaata ka ajaline laps, ülekantud laps",https://sonaveeb.ee/search/unif/dlall/TAI/preterm%20newborn
pretreatment,eelravi,eki_dkt,psychology/therapy,"aktiivsele ravile eelnevad kohtumised individuaalterapeudiga, mille eesmärk on jõuda ühisele arusaamale koostöö jätkamise osas ning selgitada ravisekk...",https://sonaveeb.ee/search/unif/dlall/dkt/pretreatment
prevalent case,leviisik,eki_TAI,health,"konkreetsel ajahetkel või -perioodil elus olev inimene, kellel on kunagi elu jooksul diagnoositud pahaloomuline kasvaja",https://sonaveeb.ee/search/unif/dlall/TAI/prevalent%20case
preventable death,ennetatav surmajuht,eki_TAI,health,"surmajuht, mida saab vältida tõhusate rahvatervishoiu ja esmase ennetuse meetmetega (nt enne haiguse või vigastuse tekkimist)",https://sonaveeb.ee/search/unif/dlall/TAI/preventable%20death
prevention,(no ET term),eki_TAI,health,"policies and actions to eliminate a disease or minimize its effect; to reduce the incidence and/or prevalence of disease, disability, and premature de...",https://sonaveeb.ee/search/unif/dlall/TAI/prevention
prevention programme,ennetusprogramm,eki_TAI,health,ajaliselt piiritletud ennetustegevuste tervikkava,https://sonaveeb.ee/search/unif/dlall/TAI/prevention%20programme
primary outcome,esmane tulemusnäitaja,eki_TAI,health,ennetustegevuse mõju või toime uuringu peamine tulemusnäitaja,https://sonaveeb.ee/search/unif/dlall/TAI/primary%20outcome
primary prevention,esmane ennetus,eki_TAI,health,"kõigile suunatud ennetus probleemi kujunemise ärahoidmiseks või edasilükkamiseks, Nt immuniseerimine nakkushaigustesse haigestumise ennetamiseks, Term...",https://sonaveeb.ee/search/unif/dlall/TAI/primary%20prevention
primary screening method,sõeluuringu esmasuuring,eki_TAI,health,"sõeluuringus patoloogia avastamiseks tehtav esmane uuring. Näiteks emakakaelavähi sõeluuringu esmasuuring on HPV uuring, jämesoolevähi sõeluuringu esm...",https://sonaveeb.ee/search/unif/dlall/TAI/primary%20screening%20method
primary screening method for breast cancer,rinnavähi sõeluuringu esmasuuring,eki_TAI,health,rinnavähi sõeluuringus patoloogia avastamiseks tehtav mammograafia,https://sonaveeb.ee/search/unif/dlall/TAI/primary%20screening%20method%20for%20breast%20cancer
primary screening method for cervical cancer,emakakaelavähi sõeluuringu esmasuuring,eki_TAI,health,emakakaelavähi sõeluuringus patoloogia avastamiseks tehtav HPV uuring,https://sonaveeb.ee/search/unif/dlall/TAI/primary%20screening%20method%20for%20cervical%20cancer
primary screening method for colorectal cancer,jämesoolevähi sõeluuringu esmasuuring,eki_TAI,health,jämesoolevähi sõeluuringus patoloogia avastamiseks tehtav peitveretest,https://sonaveeb.ee/search/unif/dlall/TAI/primary%20screening%20method%20for%20colorectal%20cancer
primary site,(no ET term),eki_TAI,health,kasvaja esimene tekkekoht,https://sonaveeb.ee/search/unif/dlall/TAI/primary%20site
problem,probleem,eki_TAI,health,"midagi takistav, muret tekitav asjaolu või olukord, mis vajab lahendust ja millega tuleb tegelda, keeruline, raske asi",https://sonaveeb.ee/search/unif/dlall/TAI/problem
problem behavior,probleemkäitumine,eki_dkt,psychology/therapy,"käitumine, mis on kahjulik, funktsioneerimist takistav või vastuolus inimese poolt endale seatud eesmärkidega",https://sonaveeb.ee/search/unif/dlall/dkt/problem%20behavior
problems in living,elukorralduse probleemid,eki_dkt,psychology/therapy,"patsiendi elus esinevad probleemid, mis ei avaldu elu ohustaval või elukvaliteeti oluliselt häirival tasemel",https://sonaveeb.ee/search/unif/dlall/dkt/problems%20in%20living
process evaluation,protsessi hindamine,eki_TAI,health,"tegevus, mille eesmärk on mõõta ennetustegevuse kavakohasust ja jälgida, mis tegevuse ajal ja järel toimub",https://sonaveeb.ee/search/unif/dlall/TAI/process%20evaluation
prompting event,vallandav sündmus,eki_dkt,psychology/therapy,"konkreetne väline või sisemine sündmus, mis käivitab probleemkäitumiseni viiva reaktsioonide ahela",https://sonaveeb.ee/search/unif/dlall/dkt/prompting%20event
pros and cons,kasud ja kahjud,eki_dkt,psychology/therapy,"DKT oskus, mis hõlmab kriisis tekkivate käitumistungide järgi tegutsemise ja mittetegutsemise plusside ning miinuste läbikaalumist. Selleks kirjutatak...",https://sonaveeb.ee/search/unif/dlall/dkt/pros%20and%20cons
protective factor,(no ET term),eki_TAI,health,probleemi kujunemise või süvenemise tõenäosust vähendav tegur,https://sonaveeb.ee/search/unif/dlall/TAI/protective%20factor
psychological first aid,psühholoogiline esmaabi,eki_kriis,crisis,"hooliv juuresolemine pärast füüsilise abi tagamist traumeeriva sündmuse korral, on jõukohane ka igasuguse väljaõppeta inimesele",https://sonaveeb.ee/search/unif/dlall/kriis/psychological%20first%20aid
psychosocial crisis intervention,(no ET term),eki_kriis,crisis,"lühiajaline kriisi- ja traumateadlik psühhosotsiaalne tugi ja juhendamine väga häirivat olukorda (näiteks ootamatu kaotus, õnnetus, katastroof, eneset...",https://sonaveeb.ee/search/unif/dlall/kriis/psychosocial%20crisis%20intervention
pulmonary tuberculosis,(no ET term),eki_TAI,health,"tuberkuloosi vorm, mille puhul on haigusest haaratud kopsu parenhüüm ja/või kõri, bronhid või trahhea",https://sonaveeb.ee/search/unif/dlall/TAI/pulmonary%20tuberculosis
punishment,(no ET term),eki_dkt,psychology/therapy,"kasvatus- või mõjutusvahend, mida rakendatakse kuriteo, üleastumise, halva käitumise vms puhul, süüdi oleva isiku suhtes kohtulikult rakendatav sunnia...",https://sonaveeb.ee/search/unif/dlall/dkt/punishment
punitive parent mode,karistava kriitiku olek,eki_skt,psychology/therapy,"üks sisemise kriitiku olekutest, milles ollakse enda vastu agressiivne, mitteaktsepteeriv, mitteandestav ning kriitiline vigade tegemise ja piirav/kee...",https://sonaveeb.ee/search/unif/dlall/skt/punitive%20parent%20mode
punitiveness,sallimatu karistavus,eki_skt,psychology/therapy,"eeldus, et inimesi, kaasa arvatud iseennast, tuleb eksimuste ja vigade eest karmilt karistada, sisaldades kalduvust olla vihane, sallimatu, kannatamat...",https://sonaveeb.ee/search/unif/dlall/skt/punitiveness
punitiveness towards others,teistele suunatud sallimatu karistavus,eki_skt,psychology/therapy,"varane mittekohastumuslik skeem, mida iseloomustavad hõivatus õigluse põhimõttest, vaenulikkus teiste vigade, kannatuse ja ebatäiuslikkuse suhtes ning...",https://sonaveeb.ee/search/unif/dlall/skt/punitiveness%20towards%20others
punitiveness towards self,enesele suunatud sallimatu karistavus,eki_skt,psychology/therapy,"varane mittekohastumuslik skeem, mida iseloomustavad vaenulikkus oma vigade, kannatuse ja ebatäiuslikkuse suhtes, enesesüüdistus ning enesele esitatav...",https://sonaveeb.ee/search/unif/dlall/skt/punitiveness%20towards%20self
quality-of-life interfering behavior,elukvaliteeti häiriv käitumine,eki_dkt,psychology/therapy,"käitumine, mis ajas püsimisel hakkab suure tõenäosusega oluliselt elukvaliteeti vähendama",https://sonaveeb.ee/search/unif/dlall/dkt/quality-of-life%20interfering%20behavior
radical acceptance,radikaalne aktsepteerimine,eki_dkt,psychology/therapy,"Radikaalne aktsepteerimine on tegelikkuse aktsepteerimise oskus, mis tähendab täielikku avatust reaalsuse faktidele, nii nagu need on, ilma jonnita ja...",https://sonaveeb.ee/search/unif/dlall/dkt/radical%20acceptance
rate,(no ET term),eki_TAI,health,"nähtuse vms määr, suurus või hulk",https://sonaveeb.ee/search/unif/dlall/TAI/rate
rational mind,ratsionaalne meel,eki_dkt,psychology/therapy,"Üks kolmest meeleseisundist DKT-s, kus tegutsetakse ja otsustatakse ratsionaalselt, võttes arvesse vaid fakte ja objektiivseid tõendeid.",https://sonaveeb.ee/search/unif/dlall/dkt/rational%20mind
realistic expectations,realistlikud ootused,eki_skt,psychology/therapy,"rahulolu enda sooritustega vajaduseta olla parim, being content with one's perfomances without having to be the best",https://sonaveeb.ee/search/unif/dlall/skt/realistic%20expectations
realistic limits and self-control,realistlikud piirid ja enesekontroll,eki_skt,psychology/therapy,baasiline emotsionaalne vajadus turvaliste ja eakohaste piiride järele,https://sonaveeb.ee/search/unif/dlall/skt/realistic%20limits%20and%20self-control
reality acceptance skills,tegelikkuse aktsepteerimise oskused,eki_dkt,psychology/therapy,"DKT oskused, mille abil aktsepteerida oma elu sellisena, nagu see hetkel on, eriti kui elad hetkel sellist elu, millist ei tahaks. Need vähendavad kan...",https://sonaveeb.ee/search/unif/dlall/dkt/reality%20acceptance%20skills
reciprocity,(no ET term),eki_dkt,psychology/therapy,"leppe osapoolte vaheline suhe, milles mõlemad omavad samu õigusi ja kohustusi teineteise suhtes, relationship between two parties where both have the ...",https://sonaveeb.ee/search/unif/dlall/dkt/reciprocity
refuge,(no ET term),eki_TAI,health,shelter or protection from danger or distress,https://sonaveeb.ee/search/unif/dlall/TAI/refuge
rehab,(no ET term),eki_TAI,health,"process or action of bringing plant, buildings, or civil engineering works back to acceptable functional conditions, often with improvements, tehase, ...",https://sonaveeb.ee/search/unif/dlall/TAI/rehab
rehabilitation,(no ET term),eki_TAI,health,"process or action of bringing plant, buildings, or civil engineering works back to acceptable functional conditions, often with improvements, tehase, ...",https://sonaveeb.ee/search/unif/dlall/TAI/rehabilitation
reinforcement,(no ET term),eki_dkt,psychology/therapy,"rods, bars, fabric, fibres, wires, and cables added to give additional strength or support to a material or component, vardad, latid, kangas, kiudaine...",https://sonaveeb.ee/search/unif/dlall/dkt/reinforcement
relationship effectiveness,tõhusus suhetes,eki_dkt,psychology/therapy,"üks võimalik eesmärk suhtlemisolukordades: suhte hoidmine või parandamine, püüdes samal ajal saavutada oma eesmärki suhtluses",https://sonaveeb.ee/search/unif/dlall/dkt/relationship%20effectiveness
resignation,skeemile järele andmine,eki_skt,psychology/therapy,"reageerimise viis, mille puhul inimene toimib aktiveerunud skeemi kohaselt, uskudes täielikult selle tähendust, the way of the schema handling where t...",https://sonaveeb.ee/search/unif/dlall/skt/resignation
resilience,(no ET term),eki_TAI,health,"ühiskonna, süsteemi vm võime kohaneda, toimida ja taastuda ka rasketes või ootamatutes oludes",https://sonaveeb.ee/search/unif/dlall/TAI/resilience
risk factor,riskitegur,eki_TAI,health,"asjaolu, mis suurendab mingi ohu või kahju tõenäosust",https://sonaveeb.ee/search/unif/dlall/TAI/risk%20factor
safe house,(no ET term),eki_TAI,health,"simple facilities for asylum or provisional lodgings to individuals or groups in emergencies, isikutele ajutist ööpäevast abi ja tuge ning kaitset pak...",https://sonaveeb.ee/search/unif/dlall/TAI/safe%20house
safe house service,turvakoduteenus,eki_TAI,health,"hädaohus ja abivajavale lapsele või täiskasvanule ajutise eluaseme, turvalise keskkonna ja esmase abi tagamine, social service organised by a local au...",https://sonaveeb.ee/search/unif/dlall/TAI/safe%20house%20service
schema,(no ET term),eki_skt,psychology/therapy,"lai, kõikehõlmav enda ja oma suhete kohta käiv kogum kognitiivsetest ja emotsionaalsetest mustritest, mis on kujunenud lapsepõlves või hilisemas elus ...",https://sonaveeb.ee/search/unif/dlall/skt/schema
schema attunement,skeemile häälestatus,eki_skt,psychology/therapy,"piiritletud vanemlikkuse rakendamine läbi häälestumise (aktiveerunud) skeemiga seotud (varase arengu) emotsionaalsetele vajadustele, terapeudi oskus v...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20attunement
schema chemistry,skeemide keemia,eki_skt,psychology/therapy,,https://sonaveeb.ee/search/unif/dlall/skt/schema%20chemistry
schema coping style,skeemiga toimetuleku stiil,eki_skt,psychology/therapy,"skeemiga toime tulemise kolm üldist viisi - allaandmine, vältimine ja ülekompenseerimine - millest lähtuvad erinevad individuaalsed toimetulekuolekud,...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20coping%20style
schema couples therapy,paariskeemiteraapia,eki_skt,psychology/therapy,"skeemiteraapia suund, milles skeemiteraapia teooria ja meetodid on kohandatud tööks paaridega",https://sonaveeb.ee/search/unif/dlall/skt/schema%20couples%20therapy
schema dialogues,skeemi dialoog,eki_skt,psychology/therapy,skeemitöö kogemuslik tehnika patsiendi ja terapeudi dialoogis düsfunktsionaalsete/mitte-kohastumuslike skeemi olekute tundmaõppimise ja korrigeerimise...,https://sonaveeb.ee/search/unif/dlall/skt/schema%20dialogues
schema domain,skeemi valdkond,eki_skt,psychology/therapy,"ühte või mitut skeemi hõlmav kategooria, mis vastab spetsiifilistele emotsionaalsetele vajadustele, category of schemas that corresponds to specific e...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20domain
schema healing,skeemi paranemine,eki_skt,psychology/therapy,"mittekohastumusliku skeemi hääbumise protsess, milles skeem nõrgeneb ning avaldab järjest vähem mõju käitumisele, Because a schema is a set of memorie...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20healing
schema mode,skeemi olek,eki_skt,psychology/therapy,"käesolev emotsionaalne, kognitiivne ja käitumuslik seisund, milles inimene parasjagu on, kui üks või mitu skeemi on aktiveeritud, the current emotiona...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20mode
schema model,skeemi mudel,eki_skt,psychology/therapy,"probleemide kontseptualiseerimise viis, seostades varaseid mittekohastumuslikke skeeme toimetulekustiilidega, tuues välja nende tekkepõhjused varases ...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20model
schema perpetuation,skeemi põlistumine,eki_skt,psychology/therapy,"skeemi säilimise protsess, milles mõtted, tunded ja käitumine kinnistavad olemasolevat skeemi, Refers to everything the patient does (internally and b...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20perpetuation
schema therapy,(no ET term),eki_skt,psychology/therapy,"Schema therapy is an innovative, integrative therapy developed by Young and colleagues (Young, 1990, 1999) that significantly expands on traditional c...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20therapy
schema trigger,skeemi vallandaja,eki_skt,psychology/therapy,"tegur, mis aktiveerib skeemi, Studies on the biology of the brain indicate locations at which schema triggering based on traumatic childhood events su...",https://sonaveeb.ee/search/unif/dlall/skt/schema%20trigger
screening colonoscopy,sõelkoloskoopia,eki_TAI,health,jämesoolevähi sõeluuringul tehtav koloskoopia,https://sonaveeb.ee/search/unif/dlall/TAI/screening%20colonoscopy
secondary intervention,teisene ennetus,eki_TAI,health,"varases staadiumis probleemiga inimestele suunatud ennetus probleemi (edasi)arenemise ja kordumise ärahoidmiseks, Nt inimeste kontorilaudade ja toolid...",https://sonaveeb.ee/search/unif/dlall/TAI/secondary%20intervention
secondary outcome,teisene tulemusnäitaja,eki_TAI,health,"ennetustegevuse mõju või toime uuringu muu tulemusnäitaja, mille vastu huvi tuntakse, Nt kui ennetustegevuse eesmärk oli kehamassi muutus, siis on tei...",https://sonaveeb.ee/search/unif/dlall/TAI/secondary%20outcome
secure attachment,turvaline seotus,eki_skt,psychology/therapy,"baasiline emotsionaalne vajadus olla turvalises suhtes, mis sisaldab võimalust olla hoitud, märgatud, armastatud, mõistetud, aksepteeritud, tunnustatu...",https://sonaveeb.ee/search/unif/dlall/skt/secure%20attachment
selective prevention,valikuline ennetus,eki_TAI,health,"ennetus, mis on suunatud inimrühmale, kel on suurem risk probleemi kujunemiseks, Nt sünnieelsed ja -järgsed kodukülastused vanemlike oskuste arendamis...",https://sonaveeb.ee/search/unif/dlall/TAI/selective%20prevention
self-aggrandizer mode,suurustaja olek,eki_skt,psychology/therapy,"üks düsfunktsionaalsetest kaitseolekutest, mida iseloomustavad arrogantne enese üle- ja teiste alahindamine, The Self-Aggrandizer mode is an overcompe...",https://sonaveeb.ee/search/unif/dlall/skt/self-aggrandizer%20mode
self-care,(no ET term),eki_TAI,health,"activities or tasks done routinely to maintain the client’s health and well-being, considering the environment and social factors., isikliku tervise j...",https://sonaveeb.ee/search/unif/dlall/TAI/self-care
